Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","Capacitor_SMD_1206_inSilk",30.8225,-39.3700,180.0000,bottom
"C2","100nF","Capacitor_SMD_1206_inSilk",39.0275,-39.3700,180.0000,bottom
"D1","D","Diode_SMD_SOD-123_inSilk",42.8625,-35.5600,90.0000,bottom
"D2","D","Diode_SMD_SOD-123_inSilk",61.9125,-35.5600,90.0000,bottom
"D3","D","Diode_SMD_SOD-123_inSilk",80.9625,-35.5600,90.0000,bottom
"D4","D","Diode_SMD_SOD-123_inSilk",100.0125,-35.5600,90.0000,bottom
"D5","D","Diode_SMD_SOD-123_inSilk",119.0625,-35.5600,90.0000,bottom
"D6","D","Diode_SMD_SOD-123_inSilk",138.1125,-35.5600,90.0000,bottom
"D7","D","Diode_SMD_SOD-123_inSilk",157.1625,-35.5600,90.0000,bottom
"D8","D","Diode_SMD_SOD-123_inSilk",176.2125,-35.5600,90.0000,bottom
"D9","D","Diode_SMD_SOD-123_inSilk",195.2625,-35.5600,90.0000,bottom
"D10","D","Diode_SMD_SOD-123_inSilk",214.3125,-35.5600,90.0000,bottom
"D11","D","Diode_SMD_SOD-123_inSilk",233.3625,-35.5600,90.0000,bottom
"D12","D","Diode_SMD_SOD-123_inSilk",238.1250,-30.4800,270.0000,bottom
"D14","D","Diode_SMD_SOD-123_inSilk",269.8750,-30.4800,270.0000,bottom
"D15","D","Diode_SMD_SOD-123_inSilk",47.6250,-54.6100,90.0000,bottom
"D16","D","Diode_SMD_SOD-123_inSilk",71.4375,-54.6100,90.0000,bottom
"D17","D","Diode_SMD_SOD-123_inSilk",90.4875,-54.6100,90.0000,bottom
"D18","D","Diode_SMD_SOD-123_inSilk",109.5375,-54.6100,90.0000,bottom
"D19","D","Diode_SMD_SOD-123_inSilk",128.5875,-54.6100,90.0000,bottom
"D20","D","Diode_SMD_SOD-123_inSilk",147.6375,-54.6100,90.0000,bottom
"D21","D","Diode_SMD_SOD-123_inSilk",166.6875,-54.6100,90.0000,bottom
"D22","D","Diode_SMD_SOD-123_inSilk",185.7375,-54.6100,90.0000,bottom
"D23","D","Diode_SMD_SOD-123_inSilk",204.7875,-54.6100,90.0000,bottom
"D24","D","Diode_SMD_SOD-123_inSilk",223.8375,-54.6100,90.0000,bottom
"D25","D","Diode_SMD_SOD-123_inSilk",234.9500,-58.6740,0.0000,bottom
"D26","D","Diode_SMD_SOD-123_inSilk",258.7625,-58.6740,180.0000,bottom
"D27","D","Diode_SMD_SOD-123_inSilk",50.0062,-73.6600,90.0000,bottom
"D28","D","Diode_SMD_SOD-123_inSilk",76.2000,-73.6600,90.0000,bottom
"D29","D","Diode_SMD_SOD-123_inSilk",95.2500,-73.6600,90.0000,bottom
"D30","D","Diode_SMD_SOD-123_inSilk",114.3000,-73.6600,90.0000,bottom
"D31","D","Diode_SMD_SOD-123_inSilk",133.3500,-73.6600,90.0000,bottom
"D32","D","Diode_SMD_SOD-123_inSilk",152.4000,-73.6600,90.0000,bottom
"D33","D","Diode_SMD_SOD-123_inSilk",171.4500,-73.6600,90.0000,bottom
"D34","D","Diode_SMD_SOD-123_inSilk",190.5000,-73.6600,90.0000,bottom
"D35","D","Diode_SMD_SOD-123_inSilk",209.5500,-73.6600,90.0000,bottom
"D36","D","Diode_SMD_SOD-123_inSilk",228.6000,-73.6600,90.0000,bottom
"D37","D","Diode_SMD_SOD-123_inSilk",233.6800,-76.8350,90.0000,bottom
"D38","D","Diode_SMD_SOD-123_inSilk",267.3350,-76.8350,90.0000,bottom
"D40","D","Diode_SMD_SOD-123_inSilk",44.4500,-100.3300,0.0000,bottom
"D42","D","Diode_SMD_SOD-123_inSilk",61.9125,-92.7100,90.0000,bottom
"D43","D","Diode_SMD_SOD-123_inSilk",80.9625,-92.7100,90.0000,bottom
"D44","D","Diode_SMD_SOD-123_inSilk",100.0125,-92.7100,90.0000,bottom
"D45","D","Diode_SMD_SOD-123_inSilk",119.0625,-92.7100,90.0000,bottom
"D46","D","Diode_SMD_SOD-123_inSilk",138.1125,-92.7100,90.0000,bottom
"D47","D","Diode_SMD_SOD-123_inSilk",157.1625,-92.7100,90.0000,bottom
"D48","D","Diode_SMD_SOD-123_inSilk",176.2125,-92.7100,90.0000,bottom
"D49","D","Diode_SMD_SOD-123_inSilk",195.2625,-92.7100,90.0000,bottom
"D50","D","Diode_SMD_SOD-123_inSilk",214.3125,-92.7100,90.0000,bottom
"D51","D","Diode_SMD_SOD-123_inSilk",233.3625,-92.7100,90.0000,bottom
"D52","D","Diode_SMD_SOD-123_inSilk",238.1250,-95.8850,90.0000,bottom
"D53","D","Diode_SMD_SOD-123_inSilk",269.8750,-95.8850,90.0000,bottom
"D55","D","Diode_SMD_SOD-123_inSilk",37.4650,-118.7450,0.0000,bottom
"D57","D","Diode_SMD_SOD-123_inSilk",65.4050,-118.7450,0.0000,bottom
"D59","D","Diode_SMD_SOD-123_inSilk",75.5650,-118.7450,0.0000,bottom
"D60","D","Diode_SMD_SOD-123_inSilk",89.5350,-118.7450,0.0000,bottom
"D62","D","Diode_SMD_SOD-123_inSilk",135.7312,-111.7600,90.0000,bottom
"D64","D","Diode_SMD_SOD-123_inSilk",183.5150,-111.7600,90.0000,bottom
"D65","D","Diode_SMD_SOD-123_inSilk",211.4550,-118.7450,180.0000,bottom
"D67","D","Diode_SMD_SOD-123_inSilk",235.5850,-118.7450,180.0000,bottom
"D69","D","Diode_SMD_SOD-123_inSilk",245.1100,-118.7450,180.0000,bottom
"D70","D","Diode_SMD_SOD-123_inSilk",261.6200,-118.7450,180.0000,bottom
"SW2","SW_Push","SW_MX_HotSwap_nSilk",53.3400,-31.1150,180.0000,bottom
"SW3","SW_Push","SW_MX_HotSwap_nSilk",72.3900,-31.1150,180.0000,bottom
"SW4","SW_Push","SW_MX_HotSwap_nSilk",91.4400,-31.1150,180.0000,bottom
"SW5","SW_Push","SW_MX_HotSwap_nSilk",110.4900,-31.1150,180.0000,bottom
"SW6","SW_Push","SW_MX_HotSwap_nSilk",129.5400,-31.1150,180.0000,bottom
"SW7","SW_Push","SW_MX_HotSwap_nSilk",148.5900,-31.1150,180.0000,bottom
"SW8","SW_Push","SW_MX_HotSwap_nSilk",167.6400,-31.1150,180.0000,bottom
"SW9","SW_Push","SW_MX_HotSwap_nSilk",186.6900,-31.1150,180.0000,bottom
"SW10","SW_Push","SW_MX_HotSwap_nSilk",205.7400,-31.1150,180.0000,bottom
"SW11","SW_Push","SW_MX_HotSwap_nSilk",224.7900,-31.1150,180.0000,bottom
"SW12","SW_Push","SW_MX_HotSwap_nSilk",245.1100,-38.7350,0.0000,bottom
"SW13","SW_Push","SW_MX_HotSwap_nSilk",253.3650,-31.1150,180.0000,bottom
"SW14","SW_Push","SW_MX_HotSwap_nSilk",264.1600,-38.7350,0.0000,bottom
"SW15","SW_Push","SW_MX_HotSwap_nSilk",39.0525,-50.1650,180.0000,bottom
"SW16","SW_Push","SW_MX_HotSwap_nSilk",62.8650,-50.1650,180.0000,bottom
"SW17","SW_Push","SW_MX_HotSwap_nSilk",81.9150,-50.1650,180.0000,bottom
"SW18","SW_Push","SW_MX_HotSwap_nSilk",100.9650,-50.1650,180.0000,bottom
"SW19","SW_Push","SW_MX_HotSwap_nSilk",120.0150,-50.1650,180.0000,bottom
"SW20","SW_Push","SW_MX_HotSwap_nSilk",139.0650,-50.1650,180.0000,bottom
"SW21","SW_Push","SW_MX_HotSwap_nSilk",158.1150,-50.1650,180.0000,bottom
"SW22","SW_Push","SW_MX_HotSwap_nSilk",177.1650,-50.1650,180.0000,bottom
"SW23","SW_Push","SW_MX_HotSwap_nSilk",196.2150,-50.1650,180.0000,bottom
"SW24","SW_Push","SW_MX_HotSwap_nSilk",215.2650,-50.1650,180.0000,bottom
"SW25","SW_Push","SW_MX_HotSwap_nSilk",234.3150,-50.1650,180.0000,bottom
"SW26","SW_Push","SW_MX_HotSwap_nSilk",258.1275,-50.1650,180.0000,bottom
"SW27","SW_Push","SW_MX_HotSwap_nSilk",41.4337,-69.2150,180.0000,bottom
"SW28","SW_Push","SW_MX_HotSwap_nSilk",67.6275,-69.2150,180.0000,bottom
"SW29","SW_Push","SW_MX_HotSwap_nSilk",86.6775,-69.2150,180.0000,bottom
"SW30","SW_Push","SW_MX_HotSwap_nSilk",105.7275,-69.2150,180.0000,bottom
"SW31","SW_Push","SW_MX_HotSwap_nSilk",124.7775,-69.2150,180.0000,bottom
"SW32","SW_Push","SW_MX_HotSwap_nSilk",143.8275,-69.2150,180.0000,bottom
"SW33","SW_Push","SW_MX_HotSwap_nSilk",162.8775,-69.2150,180.0000,bottom
"SW34","SW_Push","SW_MX_HotSwap_nSilk",181.9275,-69.2150,180.0000,bottom
"SW35","SW_Push","SW_MX_HotSwap_nSilk",200.9775,-69.2150,180.0000,bottom
"SW36","SW_Push","SW_MX_HotSwap_nSilk",220.0275,-69.2150,180.0000,bottom
"SW37","SW_Push","SW_MX_HotSwap_nSilk",239.0775,-69.2150,180.0000,bottom
"SW38","SW_Push","SW_MX_HotSwap_nSilk",252.2537,-76.8350,0.0000,bottom
"SW39","SW_Push","SW_MX_HotSwap_nSilk",260.5087,-69.2150,180.0000,bottom
"SW40","SW_Push","SW_MX_HotSwap_nSilk",34.2900,-88.2650,180.0000,bottom
"SW41","SW_Push","SW_MX_HotSwap_nSilk",45.0850,-95.8850,0.0000,bottom
"SW42","SW_Push","SW_MX_HotSwap_nSilk",53.3400,-88.2650,180.0000,bottom
"SW43","SW_Push","SW_MX_HotSwap_nSilk",72.3900,-88.2650,180.0000,bottom
"SW44","SW_Push","SW_MX_HotSwap_nSilk",91.4400,-88.2650,180.0000,bottom
"SW45","SW_Push","SW_MX_HotSwap_nSilk",110.4900,-88.2650,180.0000,bottom
"SW46","SW_Push","SW_MX_HotSwap_nSilk",129.5400,-88.2650,180.0000,bottom
"SW47","SW_Push","SW_MX_HotSwap_nSilk",148.5900,-88.2650,180.0000,bottom
"SW48","SW_Push","SW_MX_HotSwap_nSilk",167.6400,-88.2650,180.0000,bottom
"SW49","SW_Push","SW_MX_HotSwap_nSilk",186.6900,-88.2650,180.0000,bottom
"SW50","SW_Push","SW_MX_HotSwap_nSilk",205.7400,-88.2650,180.0000,bottom
"SW51","SW_Push","SW_MX_HotSwap_nSilk",224.7900,-88.2650,180.0000,bottom
"SW52","SW_Push","SW_MX_HotSwap_nSilk",243.8400,-88.2650,180.0000,bottom
"SW53","SW_Push","SW_MX_HotSwap_nSilk",254.6350,-95.8850,0.0000,bottom
"SW54","SW_Push","SW_MX_HotSwap_nSilk",262.8900,-88.2650,180.0000,bottom
"SW55","SW_Push","SW_MX_HotSwap_nSilk",38.7350,-110.4900,90.0000,bottom
"SW56","SW_Push","SW_MX_HotSwap_nSilk",35.8775,-111.7600,270.0000,bottom
"SW57","SW_Push","SW_MX_HotSwap_nSilk",57.7850,-110.4900,90.0000,bottom
"SW58","SW_Push","SW_MX_HotSwap_nSilk",67.3100,-110.4900,90.0000,bottom
"SW59","SW_Push","SW_MX_HotSwap_nSilk",76.8350,-110.4900,90.0000,bottom
"SW60","SW_Push","SW_MX_HotSwap_nSilk",91.1225,-110.4900,90.0000,bottom
"SW61","SW_Push","SW_MX_HotSwap_nSilk",88.2650,-111.7600,270.0000,bottom
"SW62","SW_Push","SW_MX_HotSwap_nSilk",127.1587,-107.3150,180.0000,bottom
"SW63","SW_Push","SW_MX_HotSwap_nSilk",162.5600,-110.4900,90.0000,bottom
"SW64","SW_Push","SW_MX_HotSwap_nSilk",174.7837,-107.3150,180.0000,bottom
"SW65","SW_Push","SW_MX_HotSwap_nSilk",210.1850,-110.4900,90.0000,bottom
"SW66","SW_Push","SW_MX_HotSwap_nSilk",207.3275,-111.7600,270.0000,bottom
"SW67","SW_Push","SW_MX_HotSwap_nSilk",221.6150,-111.7600,270.0000,bottom
"SW68","SW_Push","SW_MX_HotSwap_nSilk",231.1400,-111.7600,270.0000,bottom
"SW69","SW_Push","SW_MX_HotSwap_nSilk",240.6650,-111.7600,270.0000,bottom
"SW70","SW_Push","SW_MX_HotSwap_nSilk",262.5725,-110.4900,90.0000,bottom
"SW71","SW_Push","SW_MX_HotSwap_nSilk",259.7150,-111.7600,270.0000,bottom
